index	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	CLUSTER	TABLE	ROW	COL1	COL2	NAME_COL1	NAME_COL2	ENTITY_COL1	PREDICATE	ENTITY_COL2	origin	VALIDATION
39982	0	1	11	6	1.8333333333333333	84	0	1	10	10	1.0	2	4	0.5	10	4	0.12161208911540766	0.00650103995758481	0.07064224642631478	0.09202765039990465	1	1	1.0	9	9	0	0	0.05555555555555555	0.17142857142857143	0.17142857142857143	0	0.0	0	0.0	0	0.0	0	2	1	1	0	0	1	1	1	1	48884	150	1	2	29150	29515	2240	11283	29578	11474	2	2	2	36629	0.0001743071291615827	5.460154522372983e-05	6.76178240584218e-05	1	2648	26451	66	473150.1	9	0	1	counti@3	locat@3	https://en.wikipedia.org/wiki/Baltimore_County,_Maryland :Q488668	P131 :located in the administrative territorial entity@en	https://en.wikipedia.org/wiki/Pikesville,_Maryland :Q755020	t	0
40051	0	2	22	7	3.142857142857143	123	6	3	14	14	1.0	10	13	0.7692307692307693	14	14	0.0006337422410532261	0.0036611364620141914	0.004055461431350659	0.9027669289891043	1	1	1.0	10	101	0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	1	2	1	1	0	1	1	1	0	0	290	10404	0	1	947	949	196	138	950	644	15	15	8	1350	0.023291925465838508	0.005925925925925926	0.015789473684210527	1	146	19	1723	742961.2	4	6	3	competit@3	oppon@3	https://en.wikipedia.org/wiki/2000_Four_Nations_Tournament_(Shanghai) :Q30603605	P1344-1 :participant of@en	https://en.wikipedia.org/wiki/China_national_football_team :Q130582	t	1
46966	0	1	808	7	115.4285714286	1535	1	0	419	413	1.014527845	137	395	0.346835443	417	400	1.0789890300889E-05	6.16377943909083E-05	3.45934874176784E-05	1.7817745186	1	1	1	9	16	0	1	0	0	0	3	0.0037128713	3	0.0071942446	3	0.0075	0	0	1	1	0	0	1	1	0	0	6	390	0	0	419	413	137	395	417	400	3	3	2	808	0.0075	0.0024752475	0.0071942446	1	1	309	1124287	402346.1	372	1	0	develop@3	titl@3	https://en.wikipedia.org/wiki/SCE_Japan_Studio :Q334904	P408-1 :software engine@en	https://en.wikipedia.org/wiki/LocoRoco :Q1165849	f	0
46724	0	73	651	4	162.75	1704	2	1	550	550	1	256	525	0.4876190476	550	539	0.0004815917	0.002673796	0.0016002881	1.6708216714	1	1	1	9	9	0	0	0	0	0	74	0.113671275	74	0.1345454545	74	0.1372912801	0	0	1	1	0	0	1	1	1	0	25	10308	0	0	1502	1502	722	1435	1501	1475	152	152	71	1892	0.1030508475	0.0375264271	0.1012658228	1	67	861	3733	797134.73	469	2	1	citi@3	venu@3	https://en.wikipedia.org/wiki/Raleigh,_North_Carolina :Q41087	P127-1 :owned by@en	https://en.wikipedia.org/wiki/Red_Hat_Amphitheater :Q7304223	f	1
46486	63111033	2	26	11	2.3636363636363638	100	1	0	17	17	1.0	5	17	0.29411764705882354	17	17	0.0036611364620141914	0.0006337422410532261	0.004055461431350659	0.15626883692052773	1	1	1.0	9	9	0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	1	2	1	1	0	0	1	1	1	0	10404	290	0	0	7195	7260	932	1631	7260	3885	19	18	19	11974	0.004633204633204633	0.0015867713378987806	0.0026170798898071624	1	863	593	263	655203.2	20	1	0	club_perform**club@3	club_perform**season@2	https://en.wikipedia.org/wiki/Borussia_M%C3%B6nchengladbach :Q101959	P1344 :participant of@en	https://en.wikipedia.org/wiki/2006%E2%80%9307_Bundesliga :Q27896	t	1
46475	78842811	1	10	5	2.0	53	-1	3	8	8	1.0	1	3	0.3333333333333333	8	3	0.0018899563114283854	0.0005512017644397454	0.0012047366507678284	0.4575288417501383	1	1	1.0	0	10	0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	1	2	1	1	0	0	-1	1	0	0	1629	29	0	0	894	894	121	484	890	624	5	5	5	1976	0.008012820512820512	0.0025303643724696357	0.0056179775280898875	1	133	243	1895	581867.1	6	-1	3	protag_article@3	nomin@3	https://en.wikipedia.org/wiki/Burton_%26_Taylor :Q14513277	P162 :producer@en	https://en.wikipedia.org/wiki/Dominic_West :Q313020	t	0
46328	39070	1	25	3	8.333333333333334	21	-1	1	21	21	1.0	1	21	0.047619047619047616	21	21	0.003489655837009577	0.02123081283388868	0.016206167947381615	1.3100452187599896	1	1	1.0	0	11	0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	1	2	1	1	0	3	-1	1	0	0	104	32274	0	0	37898	37898	11791	23470	37673	34615	7457	6831	7448	450104	0.1973421926910299	0.016547286849261503	0.19794016935205586	1	56332	7653	3	80187.1	21	-1	1	protag_article@3	titl@3	https://en.wikipedia.org/wiki/L.A._Friday :Q6456211	P361-1 :part of@en	https://en.wikipedia.org/wiki/Rip_This_Joint :Q4993752	t	1
46467	13863950	74	17	4	4.25	103	-1	1	17	17	1.0	1	4	0.25	17	4	0.20556027510113994	3.293755986587161e-05	0.1123884671026946	0.0002930688594210919	1	1	1.0	0	53	0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	1	2	1	1	0	0	-1	1	0	0	846719	70	0	846719	489751	489751	9344	251	489751	64165	185941	6775	185867	496578	0.1055871581080028	0.37429567963139726	0.37966436005235316	1	51229	186113	4	993484.74	15	-1	1	protag_article@3	spancol@4	https://en.wikipedia.org/wiki/List_of_Chinese_football_transfers_winter_2018 :Q48839324	P17 :country@en	https://en.wikipedia.org/wiki/China :Q148	t	1
46431	39267	1	52	5	10.4	206	2	1	41	41	1.0	13	13	1.0	41	13	0.0005512017644397454	0.0018899563114283854	0.0012047366507678284	1.568771324607613	1	1	1.0	9	11	0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0	2	1	1	0	3	1	1	1	1	29	1629	0	1	769	748	135	262	765	270	10	4	4	1271	0.014814814814814815	0.003147128245476003	0.013071895424836602	1	26	716	9675	728502.1	27	2	1	artist@3	singl@3	https://en.wikipedia.org/wiki/Linkin_Park :Q261	P162-1 :producer@en	https://en.wikipedia.org/wiki/New_Divide :Q19985	t	0
46640	0	1	12	6	2	49	1	2	11	14	0.7857142857	9	12	0.75	14	12	0.2055602751	3.29375598658716E-05	0.1123884671	0.0002930689	1	1	1	10	9	0	0	0	0	0	2	0.1666666667	2	0.1428571429	2	0.1666666667	1	0	1	1	0	0	1	1	0	0	846719	70	1	0	37619	45139	1487	810	45183	2858	4085	358	3748	40793	0.1252624213	0.0918785086	0.09041011	1	2790	8429	60	793765.1	8	1	2	competit@3	venu@3	https://en.wikipedia.org/wiki/Fukuoka_Marathon :Q1473381	P17 :country@en	https://en.wikipedia.org/wiki/Fukuoka,_Japan :Q26600	f	0
46320	11031924	23	6	6	1.0	13	-1	1	5	5	1.0	1	4	0.25	5	4	0.005804152832199864	0.00014053067650995888	0.003491966138713623	0.0402439974866789	1	1	1.0	0	10	0	0	0.0	0.3157894736842105	0.3157894736842105	0	0.0	0	0.0	0	0.0	1	2	0	1	0	0	-1	1	0	0	23659	10	0	182	275641	275641	11357	1400	275637	52738	1070	519	1069	357761	0.009841101293185179	0.0029880283205827355	0.0038819171591622315	1	57878	1094	1	1020514.23	4	-1	1	protag_article@3	2__parti@3	https://en.wikipedia.org/wiki/Liverpool_Town_Council_election,_1847 :Q28404784	P102 :member of political party@en	https://en.wikipedia.org/wiki/Whigs_(British_political_party) :Q108700	t	0
46273	39183	2	33	5	6.6	515	4	0	27	25	1.08	21	25	0.84	27	27	0.002894945041235073	0.0035748610233734797	0.011541225455364158	0.3097470920396887	1	1	1.0	18	16	0	1	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0	2	1	1	8	0	1	1	0	0	579	514	0	25	15888	13255	3272	13082	15867	15729	158	158	134	51480	0.010045139551147561	0.002602952602952603	0.009957773996344614	1	1413	7151	163	404384.2	33	4	0	note@3	titl@3	https://en.wikipedia.org/wiki/Gremlins_2:_The_New_Batch :Q505712	P161-1 :cast member@en	https://en.wikipedia.org/wiki/Gremlins :Q241958	t	0
46457	39164	1	24	7	3.4285714285714284	59	5	6	3	3	1.0	2	2	1.0	3	3	0.00028949231993518726	0.004168523408754375	0.0027348973089469006	1.524197415061082	1	1	1.0	9	85	0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	1	2	1	0	0	77	1	1	0	0	20	19912	0	0	7092	11742	3098	4488	11775	9629	3	2	3	63718	0.0002077058884619379	4.70824570764933e-05	0.00025477707006369424	1	1999	523	102	797119.1	12	5	6	citi_or_town@3	descript@3	https://en.wikipedia.org/wiki/Lenoir_City,_Tennessee :Q2238814	P937-1 :work location@en	https://en.wikipedia.org/wiki/Middle_Tennessee_State_University :Q1784748	t	0
46353	74313039	1	1	7	0.14285714285714285	9	6	3	1	1	1.0	1	1	1.0	1	1	0.0006337422410532261	0.0036611364620141914	0.004055461431350659	0.9027669289891043	1	1	1.0	10	101	0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0	2	-1	1	0	1	1	1	0	0	290	10404	0	13	761	773	197	180	775	493	1	1	1	1098	0.002028397565922921	0.0009107468123861566	0.0012903225806451613	1	208	33	1202	948431.1	1	6	3	competit@3	oppon@3	https://en.wikipedia.org/wiki/Exhibition_game :Q493386	P1344-1 :participant of@en	https://en.wikipedia.org/wiki/Uruguay_national_football_team :Q134916	t	0
39912	0	240	10	4	2.5	64	-1	1	10	10	1.0	1	1	1.0	10	1	0.20556027510113994	3.293755986587161e-05	0.1123884671026946	0.0002930688594210919	1	1	1.0	0	53	0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	1	2	1	1	0	0	-1	1	0	0	846719	70	0	846719	489751	489751	9344	251	489751	64165	185941	6775	185867	496578	0.1055871581080028	0.37429567963139726	0.37966436005235316	1	51229	186113	4	993484.240	7	-1	1	protag_article@3	spancol@4	https://en.wikipedia.org/wiki/List_of_Chinese_football_transfers_winter_2018 :Q48839324	P17 :country@en	https://en.wikipedia.org/wiki/China :Q148	t	1
46279	39065	41	3	5	0.6	5	-1	1	2	2	1.0	1	1	1.0	2	1	1.4634061744120678e-06	1.2449873424102667e-06	8.213870033791504e-07	1.5157134667196375	1	1	1.0	0	22	0	1	0.0	0.35294117647058826	0.35294117647058826	0	0.0	0	0.0	0	0.0	1	2	0	1	0	4	-1	1	0	1	3	2	0	0	275641	275641	11357	1400	275637	52738	2	2	2	357761	3.792331904888316e-05	5.590324266759093e-06	7.255919923667723e-06	1	57878	1094	1	328315.41	4	-1	1	protag_article@3	2__parti@3	https://en.wikipedia.org/wiki/Cebu_local_elections,_2013 :Q5055823	P210-1 :party chief representative@en	https://en.wikipedia.org/wiki/One_Cebu :Q7092518	t	0
46827	0	4	84	4	21	674	1	0	62	61	1.0163934426	49	12	4.0833333333	62	62	0.003574861	0.002894945	0.0115412255	0.250835152	1	1	1	19	55	1	1	0	0	0	2	0.0238095238	2	0.0322580645	2	0.0322580645	0	0	1	0	2	11	1	1	0	1	514	579	0	0	136	135	104	24	136	136	3	3	3	185	0.0220588235	0.0162162162	0.0220588235	1	3	3	84098	662446.4	80	1	0	actor@3	year@3	https://en.wikipedia.org/wiki/Haley_Joel_Osment :Q489856	P161 :cast member@en	https://en.wikipedia.org/wiki/21st_Young_Artist_Awards :Q4631186	f	0
46507	73423904	1	13	6	2.1666666666666665	42	1	2	7	7	1.0	4	7	0.5714285714285714	7	7	0.003489655837009577	0.02123081283388868	0.016206167947381615	1.3100452187599896	1	1	1.0	10	10	0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	1	2	1	-1	0	0	1	1	1	0	104	32274	0	0	626	625	138	267	617	396	12	6	11	2786	0.015151515151515152	0.003948312993539124	0.019448946515397084	1	231	237	1073	416984.1	8	1	2	award@3	categori@3	https://en.wikipedia.org/wiki/Global_Indian_Music_Academy_Awards :Q19891593	P361-1 :part of@en	https://en.wikipedia.org/wiki/GiMA_Award_for_Best_Female_Playback_Singer :Q19891578	t	1
46529	39147	4	100	7	14.285714285714286	167	4	3	33	32	1.03125	8	7	1.1428571428571428	30	7	0.0014915822037403002	0.00034136679253561505	0.0008762413702135145	0.38958077550302594	1	1	1.0	11	11	0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0	2	1	1	0	0	1	1	0	0	833	49	0	0	53536	51689	265	154	48812	291	1	1	1	437000	0.003436426116838488	2.288329519450801e-06	2.0486765549455053e-05	1	4370	6540	37	110230.4	88	4	3	discov**discov@3	discoveri**site@3	https://en.wikipedia.org/wiki/Lowell_Observatory_Near-Earth-Object_Search :Q1165635	P749 :parent organization@en	https://en.wikipedia.org/wiki/Lowell_Observatory,_Anderson_Mesa_Station :Q2446595	t	0
40091	0	2	24	4	6	24	-1	1	20	20	1	1	16	0.0625	20	16	0.002894945	0.003574861	0.0115412255	0.309747092	1	1	1	0	17	0	1	0	0	0	1	0.0416666667	1	0.05	1	0.0625	1	0	1	1	0	0	-1	1	0	0	579	514	1	0	334884	334884	14832	75404	334872	329623	108390	107678	106888	459040	0.3266701656	0.2328511677	0.323675912	1	23472	111464	6	628552.2	16	-1	1	protag_article@3	titl@3	https://en.wikipedia.org/wiki/Damien_Richardson_(actor) :Q26237586	P161-1 :cast member@en	https://en.wikipedia.org/wiki/Lowdown_(TV_series) :Q6693103	f	1
40071	0	3	38	8	4.75	527	5	4	32	32	1.0	16	8	2.0	32	23	5.67888963204683e-06	5.67888963204683e-06	7.304392250339808e-05	0.07774623045172091	1	1	1.0	149	147	0	0	0.0	0.0	0.0	0	0.0	0	0.0	0	0.0	0	2	0	0	11	11	1	1	0	0	195	195	0	0	492	489	174	147	500	371	208	109	30	695	0.29380053908355797	0.04316546762589928	0.416	1	35	208	6997	1004399.3	3	5	4	second@3	winner@3	https://en.wikipedia.org/wiki/Petra_Majdi%C4%8D :Q231305	P530-1 :diplomatic relation@en	https://en.wikipedia.org/wiki/Marit_Bj%C3%B8rgen :Q216256	t	0
