index	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	CLUSTER	TABLE	ROW	COL1	COL2	NAME_COL1	NAME_COL2	ENTITY_COL1	PREDICATE	ENTITY_COL2	VALIDATION
46735	0	1	54	7	7.7142857143	203	5	1	46	46	1	27	45	0.6	46	45	0.0013082196	0.020079964	0.0110575952	1.8159431325	1	1	1	9	10	0	0	0	0	0	2	0.037037037	2	0.0434782609	2	0.0444444444	1	0	1	1	0	0	1	1	0	0	126	14489	0	0	1303	1289	411	1279	1288	1280	100	99	100	1951	0.07734375	0.0512557663	0.0776397516	1	49	142	5077	49346.1	49	5	1	citi_or_town@3	name_on_the_regist@3	https://en.wikipedia.org/wiki/Waynesboro,_Virginia :Q501779	P276-1 :location@en	https://en.wikipedia.org/wiki/Swannanoa_(mansion) :Q7653620	1
47098	0	8	7	14	0.5	21	-1	0	7	7	1	1	3	0.3333333333	7	3	7.04837570869812E-05	0.0001339126	0.0001086969	1.2319818725	1	1	1	0	21	0	0	0	0	0	3	0.4285714286	3	0.4285714286	1	0.3333333333	1	0	1	-1	0	11	-1	1	0	0	200	327	1	0	7	7	1	3	7	3	3	1	3	7	0.3333333333	0.4285714286	0.4285714286	1	1	3	863246	354660.8	7	-1	0	protag_article@3	model@3	https://en.wikipedia.org/wiki/Business_jet :Q1062135	P1056-1 :product or material produced@en	https://en.wikipedia.org/wiki/Boeing_Business_Jet :Q737407	0
46710	0	1	90	5	18	91	-1	0	72	72	1	1	72	0.0138888889	72	72	0.002894945	0.003574861	0.0115412255	0.309747092	1	1	1	0	9	0	0	0	0	0	29	0.3222222222	29	0.4027777778	29	0.4027777778	1	0	1	1	0	0	-1	1	0	0	579	514	33	1	2410	2410	112	2183	2410	2395	822	814	813	3295	0.339874739	0.246737481	0.3410788382	1	118	835	2104	279534.1	26	-1	0	protag_article@3	titl@3	https://en.wikipedia.org/wiki/Girish_Karnad :Q3518444	P161-1 :cast member@en	https://en.wikipedia.org/wiki/Shankar_Dada_MBBS :Q7488679	1
40125	0	1	86	36	2.3888888889	16000	25	6	34	34	1	7	9	0.7777777778	34	18	0.0087233424	0.0088342118	0.0048777293	1.811132013	1	1	1	11	10	0	0	0	0	0	3	0.0348837209	3	0.0882352941	1	0.0555555556	0	0	-1	1	0	0	1	1	1	1	15	56	0	0	271	270	25	20	271	59	12	2	6	795	0.0338983051	0.0075471698	0.0442804428	1	100	12	2436	412243.1	76	25	6	3__or-4@3	6__or-9@3	https://en.wikipedia.org/wiki/Aircraftman :Q4698576	P155-1 :follows@en	https://en.wikipedia.org/wiki/Warrant_Officer :Q837643	0
46871	0	1	410	6	68.3333333333	1002	5	0	106	68	1.5588235294	98	68	1.4411764706	104	104	0.0002207778	0.067402741	0.0497066631	1.3560101784	1	1	1	91	70	1	0	0	0	0	3	0.0073170732	4	0.0384615385	4	0.0384615385	1	0	1	1	75	13	1	1	0	0	28	423238	0	1	106	68	98	68	104	104	4	4	3	410	0.0384615385	0.0073170732	0.0384615385	1	1	39	686387	524242.1	378	5	0	area_of_achiev@3	name@3	https://en.wikipedia.org/wiki/The_New_York_Times :Q9684	P106-1 :occupation@en	https://en.wikipedia.org/wiki/Gail_Collins :Q3094366	0
46891	0	1	499	7	71.2857142857	1857	1	5	362	373	0.9705093834	247	58	4.2586206897	374	342	0.0001194969	0.0006104151	0.0003341974	1.8265107964	1	1	1	11	10	0	0	0	0	0	1	0.002004008	1	0.0026737968	1	0.0029239766	0	0	1	1	0	0	1	1	0	0	6	1281	1	0	362	373	247	58	374	342	1	1	1	499	0.0029239766	0.002004008	0.0026737968	1	1	2	745874	313619.1	325	1	5	citi@3	denomin@3	https://en.wikipedia.org/wiki/Gilbert,_Arizona :Q51684	P740-1 :location of formation@en	https://en.wikipedia.org/wiki/Non-denominational :Q7882536	0
47108	0	1	43	28	1.5357142857	3587	-1	25	11	11	1	1	11	0.0909090909	11	11	0.0036611365	0.0006337422	0.0040554614	0.1562688369	1	1	1	0	9	0	0	0	0	0	1	0.023255814	1	0.0909090909	1	0.0909090909	1	0	1	1	0	0	-1	1	0	0	10404	290	20	0	11	11	1	11	11	11	1	1	1	43	0.0909090909	0.023255814	0.0909090909	1	1	1	973760	90560.1	4	-1	25	protag_article@3	2009_10@3	https://en.wikipedia.org/wiki/Stephen_Hendry :Q295201	P1344 :participant of@en	https://en.wikipedia.org/wiki/2009_Shanghai_Masters :Q1971569	1
46899	0	1	295	6	49.1666666667	6938	2	0	1832	270	6.7851851852	1442	270	5.3407407407	1832	1832	0.0011855337	0.0060814137	0.0034563608	1.7594846295	1	1	1	37	18	0	1	0	0	0	1	0.0033898305	1	0.0005458515	1	0.0005458515	0	0	1	1	27	0	1	1	0	0	56	621	0	0	1832	270	1442	270	1832	1832	1	1	1	295	0.0005458515	0.0033898305	0.0005458515	1	1	1631	808663	231060.1	15	2	0	cast_subject_of_documentari@3	titl@3	https://en.wikipedia.org/wiki/Reginald_VelJohnson :Q470153	P175-1 :performer@en	https://en.wikipedia.org/wiki/Air_Collision :Q1428689	0
46646	0	1	11	6	1.8333333333	68	-1	1	11	11	1	1	9	0.1111111111	11	9	0.0612012844	4.87729251860022E-05	0.0354855256	0.0013744456	1	1	1	0	10	0	0	0	0	0	1	0.0909090909	1	0.0909090909	1	0.1111111111	1	0	1	0	0	0	-1	1	0	1	372150	8	1	0	40265	40265	2743	1700	40265	31368	2195	2195	2195	40793	0.0699757715	0.0538082514	0.0545138458	1	2790	4439	60	230338.1	4	-1	1	protag_article@3	competit@3	https://en.wikipedia.org/wiki/Fadil_Bellaabouss :Q936112	P27 :country of citizenship@en	https://en.wikipedia.org/wiki/2004_World_Junior_Championships_in_Athletics :Q280944	0
40228	0	6	435	9	48.3333333333	9364	4	7	474	326	1.4539877301	267	306	0.8725490196	431	424	0.0023862476	0.0023908344	0.005854168	0.4083986602	1	1	1	9	9	0	0	0	0	0	2	0.0045977011	2	0.0046403712	2	0.0047169811	0	0	0	1	0	0	1	1	0	0	76	76	0	0	474	326	267	306	431	424	2	2	2	435	0.0047169811	0.0045977011	0.0046403712	1	1	38	299583	22085.6	230	4	7	prior_experi@3	resid@3	https://en.wikipedia.org/wiki/Missouri_Senate :Q951681	P47 :shares border with@en	https://en.wikipedia.org/wiki/Tarkio,_Missouri :Q777750	0
47014	0	1	235	5	47	170	-1	1	165	165	1	1	165	0.0060606061	165	165	0.0005512018	0.0018899563	0.0012047367	1.5687713246	1	1	1	0	18	0	1	0	0	0	1	0.0042553191	1	0.0060606061	1	0.0060606061	1	0	1	1	0	0	-1	1	0	0	29	1629	3	4	10627	10627	474	6352	10627	10510	41	36	40	13517	0.0034253092	0.0029592365	0.0038580973	1	493	3389	486	258299.1	135	-1	1	protag_article@3	film@3	https://en.wikipedia.org/wiki/Radha_Ravi :Q7280194	P162-1 :producer@en	https://en.wikipedia.org/wiki/Makkal_Aatchi :Q6739783	0
46975	0	2	348	5	69.6	4033	2	3	347	347	1	293	83	3.5301204819	346	292	0.0212308128	0.0034896558	0.0162061679	0.2153288704	1	1	1	9	86	0	0	0	0	0	4	0.0114942529	4	0.0115606936	4	0.0136986301	0	0	1	1	0	1	1	1	0	0	32274	104	0	0	347	347	293	83	346	292	4	4	1	348	0.0136986301	0.0028735632	0.0115606936	1	1	338	1157490	510263.2	282	2	3	citi@3	countri_or_area@3	https://en.wikipedia.org/wiki/Maputo :Q3889	P361 :part of@en	https://en.wikipedia.org/wiki/Mozambique :Q1029	1
46784	0	2	113	4	28.25	430	0	3	112	112	1	112	112	1	109	109	0.0034896558	0.0212308128	0.0162061679	1.3100452188	1	1	1	95	10	1	0	0	0	0	2	0.017699115	2	0.0183486239	2	0.0183486239	1	0	1	1	1	0	1	1	0	0	104	32274	0	0	1488	880	373	595	1463	1065	12	5	11	891	0.0046948357	0.012345679	0.008202324	1	11	823	21797	722004.2	61	0	3	countri_territori@3	hometown@3	https://en.wikipedia.org/wiki/Lebanon :Q822	P361-1 :part of@en	https://en.wikipedia.org/wiki/Byblos :Q173532	1
40168	0	3	117	5	23.4	443	0	4	117	117	1	117	117	1	113	113	0.0034896558	0.0212308128	0.0162061679	1.3100452188	1	1	1	95	10	1	0	0	0	0	1	0.0085470085	1	0.0088495575	1	0.0088495575	1	0	1	0	1	0	1	1	0	0	104	32274	0	0	1606	987	365	593	1586	1043	7	5	6	990	0.0047938639	0.0060606061	0.0044136192	1	12	944	20430	182757.3	30	0	4	countri_territori@3	hometown@3	https://en.wikipedia.org/wiki/Dominican_Republic :Q786	P361-1 :part of@en	https://en.wikipedia.org/wiki/Salcedo,_Hermanas_Mirabal :Q1023951	1
46940	0	1	78	9	8.6666666667	1605	6	3	43	43	1	14	23	0.6086956522	43	36	4.87729251860022E-05	0.0612012844	0.0354855256	1.7246830449	1	1	1	105	75	0	0	0	0	0	4	0.0512820513	4	0.0930232558	2	0.0555555556	0	0	1	1	13	21	1	1	0	0	8	372150	5237	1	43	43	14	23	43	36	4	2	4	78	0.0555555556	0.0512820513	0.0930232558	1	1	4	1002915	586233.1	40	6	3	3__spancol@3	point@3	https://en.wikipedia.org/wiki/Netherlands :Q55	P27-1 :country of citizenship@en	https://en.wikipedia.org/wiki/Freddy_Maertens :Q378319	0
47016	0	1	95	7	13.5714285714	645	0	1	90	90	1	10	42	0.2380952381	90	43	0.0011364113	0.0010319416	0.0006224804	1.6577897216	1	1	1	9	9	0	0	0	0	0	4	0.0421052632	4	0.0444444444	1	0.023255814	0	0	1	0	0	0	1	1	1	1	28	6	0	0	18244	18566	1412	6019	18603	6125	4146	465	284	22337	0.0759183673	0.0127143305	0.2228672795	1	410	17001	594	667681.1	71	0	1	counti@3	locat@3	https://en.wikipedia.org/wiki/Hocking_County,_Ohio :Q499295	P1376-1 :capital of@en	https://en.wikipedia.org/wiki/Good_Hope_Township,_Hocking_County,_Ohio :Q5582683	0
47114	0	1	796	3	265.3333333333	1868	0	1	450	450	1	443	39	11.358974359	450	443	0.0013308478	0.0015515819	0.000851445	1.8222925097	1	1	1	10	9	0	0	0	0	0	2	0.0025125628	2	0.0044444444	2	0.0045146727	0	0	1	1	0	0	1	1	0	0	9	40	0	1	450	450	443	39	450	443	2	2	1	796	0.0045146727	0.0012562814	0.0044444444	1	1	206	1060332	353277.1	740	0	1	communiti@3	counti@3	https://en.wikipedia.org/wiki/Valleyford,_Washington :Q6159320	P36-1 :capital@en	https://en.wikipedia.org/wiki/Spokane_County,_Washington :Q485276	0
46828	0	1	1068	8	133.5	5305	7	0	66	61	1.0819672131	47	48	0.9791666667	65	58	0.0011554575	0.0088434946	0.0048910858	1.8080841162	1	1	1	9	9	0	0	0	0	0	6	0.0056179775	6	0.0923076923	6	0.1034482759	0	0	1	1	0	0	1	1	0	0	11	39785	3	0	147	135	82	94	142	116	10	10	10	2497	0.0862068966	0.0040048058	0.0704225352	1	3	11	89620	121648.1	1014	7	0	artist@3	name@3	https://en.wikipedia.org/wiki/Dick_Dillin :Q267992	P170-1 :creator@en	https://en.wikipedia.org/wiki/Aurakles :Q762480	1
46802	0	1	11	6	1.8333333333	96	1	3	11	13	0.8461538462	2	10	0.2	13	10	3.29375598658716E-05	0.2055602751	0.1123884671	1.829015738	1	1	1	55	11	0	0	1	0	1	8	0.7272727273	10	0.7692307692	7	0.7	0	0	1	-1	0	0	1	1	0	0	70	846719	634821	0	286	337	25	143	355	163	178	72	156	467	0.4417177914	0.3340471092	0.5014084507	1	6	190	41974	931191.1	6	1	3	countri@4	studio@3	https://en.wikipedia.org/wiki/United_Kingdom :Q145	P17-1 :country@en	https://en.wikipedia.org/wiki/Locksmith_Animation :Q48990121	1
47081	0	1	235	88	2.6704545455	117866	27	67	52	46	1.1304347826	24	23	1.0434782609	54	27	0.000237465	0.000212041	0.0001778481	1.1922587392	1	1	1	52	54	1	1	0	0	0	2	0.0085106383	2	0.037037037	1	0.037037037	0	0	1	1	19	21	1	1	1	1	35	35	0	0	52	46	24	23	54	27	2	1	2	235	0.037037037	0.0085106383	0.037037037	1	1	4	246254	817027.1	101	27	67	28__spancol@3	62__spancol@3	https://en.wikipedia.org/wiki/Isabella_of_Aragon,_Queen_of_Germany :Q441662	P1038-1 :relative@en	https://en.wikipedia.org/wiki/Matilda_of_Habsburg :Q2635513	1
