P10	1	1	1	1	1
P10-1	1	1	1	1	1
P1000	118	96	63	8	13
P1000-1	118	63	96	13	8
P1001	47318	45885	16187	3992	69
P1001-1	47318	16187	45885	69	3992
P1002	538	526	41	94	4
P1002-1	538	41	526	4	94
P101	88453	76214	7463	25530	35
P101-1	88453	7463	76214	35	25530
P1011	23	11	13	5	4
P1011-1	23	13	11	4	5
P1012	33	15	30	2	4
P1012-1	33	30	15	4	2
P1013	39	37	21	14	3
P1013-1	39	21	37	3	14
P1018	134	118	120	4	4
P1018-1	134	120	118	4	4
P102	293340	265735	6434	23659	10
P102-1	293340	6434	265735	10	23659
P1026	707	707	706	2	1
P1026-1	707	706	707	1	2
P1027	5488	5175	3053	166	10
P1027-1	5488	3053	5175	10	166
P1028	3379	3338	672	1610	6
P1028-1	3379	672	3338	6	1610
P1029	2350	685	859	36	21
P1029-1	2350	859	685	21	36
P103	75383	74819	515	36228	12
P103-1	75383	515	74819	12	36228
P1030	375	375	32	121	1
P1030-1	375	32	375	1	121
P1032	24	23	5	13	2
P1032-1	24	5	23	2	13
P1034	78	34	56	4	17
P1034-1	78	56	34	17	4
P1035	291	285	119	39	3
P1035-1	291	119	285	3	39
P1037	3376	2723	3238	6	39
P1037-1	3376	3238	2723	39	6
P1038	14940	9708	10872	35	35
P1038-1	14940	10872	9708	35	35
P1039	31	23	30	2	4
P1039-1	31	30	23	4	2
P1040	33018	31624	5948	211	8
P1040-1	33018	5948	31624	8	211
P1041	21	14	15	4	6
P1041-1	21	15	14	6	4
P1046	372	370	8	182	2
P1046-1	372	8	370	2	182
P1049	1094	992	150	209	6
P1049-1	1094	150	992	6	209
P105	2502113	2502038	67	2096408	3
P105-1	2502113	67	2502038	3	2096408
P1050	6086	5786	504	975	11
P1050-1	6086	504	5786	11	975
P1053	532	530	532	1	2
P1053-1	532	532	530	2	1
P1056	9131	6131	3227	327	200
P1056-1	9131	3227	6131	200	327
P1057	128408	128272	146	5017	9
P1057-1	128408	146	128272	9	5017
P106	4175571	3085940	10108	423238	28
P106-1	4175571	10108	3085940	28	423238
P1060	56	47	18	11	4
P1060-1	56	18	47	4	11
P1064	14622	14427	49	10402	5
P1064-1	14622	49	14427	5	10402
P1066	21110	14480	11073	225	27
P1066-1	21110	11073	14480	27	225
P1068	117	79	32	26	9
P1068-1	117	32	79	9	26
P1071	12579	12131	1519	690	99
P1071-1	12579	1519	12131	99	690
P1072	2753	490	1110	39	144
P1072-1	2753	1110	490	144	39
